day,open,high,low,close,volume,stock
59,156.42550718139034,157.9800212215193,155.1477945780808,155.70279559353938,72564,AAPL
60,155.71478203753762,156.8261348569436,155.31716865273293,156.8261348569436,61006,AAPL
61,156.58229613343897,156.58229613343897,156.58229613343897,156.58229613343897,0,AAPL
62,156.58229613343897,157.30947319139537,154.44052287600894,156.3185210725617,53559,AAPL
63,156.2520524410985,156.88794987964934,154.74573499926262,156.12425057555302,48570,AAPL
64,156.05444961789712,159.52498428362762,156.05444961789712,158.88250938188722,1876,AAPL
65,158.88604503246185,160.23128253314013,157.6390491534778,158.14191186772388,2153,AAPL
66,158.22039609531578,159.55138084100994,156.3183448644679,159.10035709087907,5188,AAPL
67,158.95730598286715,160.2283063529494,158.0519903293864,160.1609499129533,999,AAPL
68,160.16667596379796,162.8050544350187,159.69529152708077,162.59127138427297,64024,AAPL
69,162.76106488243184,165.02084628879277,161.53035115889185,164.1908773711712,2073,AAPL
70,164.13624496715434,164.56462554613748,161.63066274745725,162.39111393098258,2028,AAPL
71,162.37966722233395,164.16325042670445,161.69411649723196,163.11085344801242,2377,AAPL
72,163.181839774337,164.71144327934917,162.32836822656148,163.92106825508912,2266,AAPL
73,163.94695912673154,165.9483913159316,162.62999667789518,165.24637698649244,2413,AAPL
74,165.26422181853343,165.3766179544885,162.82087504127472,164.4861569711519,2100,AAPL
75,164.46904650879915,164.6060806436966,159.97404464241168,160.69223189876584,37062,AAPL
76,160.62745395594916,163.58443305814941,160.62745395594916,163.5321101977734,1141,AAPL
77,163.51361555058176,166.40794362010035,163.51361555058176,165.57952791588735,364,AAPL
78,165.48102250566944,165.97056832689594,163.87429815423872,164.59549148025005,85385,AAPL
79,164.7173478310572,165.2466946303018,164.20057607412494,164.73679016791655,76,AAPL
80,164.52412816497895,165.0729758432592,163.77802486787007,164.26484614238979,80,AAPL
81,164.1655149699681,164.72929152780208,163.9071906775674,164.26015159441235,91,AAPL
82,164.2402475106821,164.61135782967523,163.5344872166041,164.32682534531483,85,AAPL
83,164.2964037020105,164.34350842475175,163.73442743252835,164.09895855308133,92,AAPL
84,164.1200818767091,165.51397615637472,162.41707377394567,162.41707377394567,10249,AAPL
85,162.41069128426315,162.6978040859479,160.02722244435773,161.1888248461666,96698,AAPL
86,161.13936395910798,162.86391916120587,160.71785335439458,162.09803592897197,4180,AAPL
87,162.09798638532016,163.19427524481563,160.97296544076036,161.21575668572683,8061,AAPL
88,161.3981014500393,161.59379772064327,159.048903411719,161.41156085432524,2414,AAPL
89,161.50167310327865,165.49561406819345,161.45196150238357,164.8571546407915,2747,AAPL
90,164.72218084120107,165.57104861724628,163.07039127962406,165.17103240939585,9013,AAPL
91,165.1402288134524,168.70263141018933,163.67397073410595,168.52423125223018,12885,AAPL
92,168.45581017536276,169.05535639011714,165.12818299103827,166.3601502510006,594,AAPL
93,166.3197361799799,167.563927752882,164.36932382910234,166.8758590600711,91085,AAPL
94,166.8795320606978,167.1103199145354,164.73451808810083,165.06795656962908,5546,AAPL
95,165.03531900449644,166.92243817133175,164.29003966305896,166.06693463894695,4627,AAPL
96,166.07246196092967,167.75435137863195,164.9534947869914,166.94114458610468,824,AAPL
97,166.9353500448068,169.6486404259823,166.5625004142198,168.8161435887466,104382,AAPL
98,168.61568087535315,172.29142006755498,168.15078226322083,171.38647764604312,80713,AAPL
99,171.33660206812007,172.27323591566991,168.97774236389287,169.06664930027344,4519,AAPL
0,130.0,132.33490059964282,129.36280755272182,131.86956685494638,69561,MSFT
1,132.03178522905853,133.75023551502156,131.4470459118524,132.5231554172732,6796,MSFT
2,132.74489792305243,134.23876316856848,131.57532918787854,132.3980874871409,85242,MSFT
3,132.61887583284297,133.26922517148867,131.42727993994055,132.29204114661988,4738,MSFT
4,132.26858054510257,132.8018201997303,130.31866075666474,130.48777362374707,5328,MSFT
