day,strategy,stock,profit
8,evolving,MSFT,7121622.732069972
8,evolving,DSM,2093983.3393836473
8,evolving,SHOP,6964480.648384817
8,noise,AAPL,1943621.5115227709
8,noise,MSFT,1089873.3021946778
8,noise,DSM,2820842.8140784563
8,noise,SHOP,1859726.9594546696
8,arbitrage,AAPL,4617614.934709001
8,arbitrage,MSFT,3825835.5540080597
8,arbitrage,DSM,4713563.951108285
8,arbitrage,SHOP,4131038.496642394
8,risk_averse,AAPL,1295851.1851069687
8,risk_averse,MSFT,3905755.2994084875
8,risk_averse,DSM,3608287.128252505
8,risk_averse,SHOP,4422186.244917916
8,mean_reversion,AAPL,4616062.273332166
8,mean_reversion,MSFT,3860639.3141018017
8,mean_reversion,DSM,4699290.036047729
8,mean_reversion,SHOP,4200096.311698262
8,contrarian,AAPL,10915985.809842488
8,contrarian,MSFT,1044112.8028121763
8,contrarian,DSM,12609893.762608238
8,contrarian,SHOP,1118736.6039051488
8,hft,AAPL,2435659.9018419664
8,hft,MSFT,11472.350549417652
8,hft,DSM,26010.245221458837
8,hft,SHOP,15192.71931229215
9,momentum,AAPL,1218391.456515733
9,momentum,MSFT,5251682.048836729
9,momentum,DSM,1537674.5281277222
9,momentum,SHOP,5276728.769157975
9,evolving,AAPL,1624822.7794176415
9,evolving,MSFT,7133775.812208159
9,evolving,DSM,2088030.1136347095
9,evolving,SHOP,6993614.261283472
9,noise,AAPL,1660020.7548281278
9,noise,MSFT,1083856.685629807
9,noise,DSM,2823419.042544952
9,noise,SHOP,1870557.7697953426
9,arbitrage,AAPL,4473452.088491178
9,arbitrage,MSFT,3832364.359005513
9,arbitrage,DSM,4700163.218755177
9,arbitrage,SHOP,4148319.3367374935
9,risk_averse,AAPL,779770.5321700756
9,risk_averse,MSFT,3912420.4877987886
9,risk_averse,DSM,3598028.7143303757
9,risk_averse,SHOP,4440685.005806132
9,mean_reversion,AAPL,4471947.901507825
9,mean_reversion,MSFT,3867227.511867083
9,mean_reversion,DSM,4685929.884647234
9,mean_reversion,SHOP,4217666.03243688
9,contrarian,AAPL,16212879.400067938
9,contrarian,MSFT,1045894.5858472197
9,contrarian,DSM,12574043.64726733
9,contrarian,SHOP,1123416.4703301378
9,hft,AAPL,17448.56900689223
9,hft,MSFT,17302.453642410546
9,hft,DSM,15814.81567548843
9,hft,SHOP,14285.419314074308
10,momentum,AAPL,7871442.402269954
10,momentum,MSFT,5360704.5934922015
10,momentum,DSM,1516719.7985716735
10,momentum,SHOP,5279057.774944347
10,evolving,AAPL,10424269.058922494
10,evolving,MSFT,7252969.0367208505
10,evolving,DSM,2059575.388310365
10,evolving,SHOP,6996701.054028526
10,noise,AAPL,1280497.124968627
10,noise,MSFT,877521.3073136735
10,noise,DSM,2783382.8412953257
10,noise,SHOP,1871799.6473742132
10,arbitrage,AAPL,4498226.375687112
10,arbitrage,MSFT,3838589.8896197397
10,arbitrage,DSM,4636111.530756993
10,arbitrage,SHOP,4150150.293029153
10,risk_averse,AAPL,784088.9553316099
10,risk_averse,MSFT,3918776.066559236
10,risk_averse,DSM,3548996.4144095695
10,risk_averse,SHOP,4442645.004420127
10,mean_reversion,AAPL,4496713.858412168
10,mean_reversion,MSFT,3873509.6763514536
10,mean_reversion,DSM,4622072.162056851
10,mean_reversion,SHOP,4219527.596490018
10,contrarian,AAPL,1254633.079567068
10,contrarian,MSFT,1047593.6019514655
10,contrarian,DSM,12402690.295673847
10,contrarian,SHOP,1123912.316066045
10,hft,AAPL,17545.200389364625
10,hft,MSFT,17330.560822407166
10,hft,DSM,15287.312584595742
10,hft,SHOP,11100.368553738841
11,momentum,AAPL,7928504.460137528
11,momentum,MSFT,6921959.806489666
11,momentum,DSM,1263679.7071851229
11,momentum,SHOP,1148502.2979806182
11,evolving,AAPL,10499837.19673876
11,evolving,MSFT,5862982.89585476
11,evolving,DSM,2062647.3659635705
11,evolving,SHOP,8555491.377512846
11,noise,AAPL,1289932.1175970265
11,noise,MSFT,775837.7366399496
11,noise,DSM,2033466.3206136904
11,noise,SHOP,1437329.3573616997
11,arbitrage,AAPL,4530835.1455457
11,arbitrage,MSFT,3858388.743879595
11,arbitrage,DSM,4637757.581815596
11,arbitrage,SHOP,4240951.078098929
11,risk_averse,AAPL,789773.0125927622
11,risk_averse,MSFT,3938988.5087450114
11,risk_averse,DSM,3550256.485325935
11,risk_averse,SHOP,4539845.256388175
11,mean_reversion,AAPL,4529311.66365412
11,mean_reversion,MSFT,3893488.6414822666
11,mean_reversion,DSM,4623713.228438637
11,mean_reversion,SHOP,4311846.281677975
11,contrarian,AAPL,1263728.2290619197
11,contrarian,MSFT,1052996.9280803634
11,contrarian,DSM,13409236.507584583
11,contrarian,SHOP,4464270.969372912
11,hft,AAPL,15691.863483228273
11,hft,MSFT,17419.949180588508
11,hft,DSM,15292.740343806492
11,hft,SHOP,11343.232572648323
12,momentum,AAPL,1234252.8491786213
12,momentum,MSFT,6802925.200315539
12,momentum,DSM,1281666.2527967382
12,momentum,SHOP,1156017.278015075
12,evolving,AAPL,10462523.565952409
12,evolving,MSFT,5762159.158138256
12,evolving,DSM,2092005.9927719855
12,evolving,SHOP,8676551.90332419
12,noise,AAPL,1402047.894798513
12,noise,MSFT,767862.0075479214
12,noise,DSM,2058452.8629136027
12,noise,SHOP,1132896.9324547749
12,arbitrage,AAPL,4528334.534242828
12,arbitrage,MSFT,3792037.3351118076
12,arbitrage,DSM,4703768.959387396
12,arbitrage,SHOP,4268700.837707487
12,risk_averse,AAPL,789337.1293044705
12,risk_averse,MSFT,3871251.0530285914
12,risk_averse,DSM,3600788.950034395
12,risk_averse,SHOP,770820.9035258592
12,mean_reversion,AAPL,4526811.893175495
12,mean_reversion,MSFT,3826533.63162394
12,mean_reversion,DSM,4689524.706145646
12,mean_reversion,SHOP,4340059.928942984
12,contrarian,AAPL,7879515.259331894
12,contrarian,MSFT,1034888.8953641028
12,contrarian,DSM,13600096.456263727
12,contrarian,SHOP,8540256.03906442
12,hft,AAPL,9897.166937652375
12,hft,MSFT,14565.10297179076
12,hft,DSM,16460.025968246555
12,hft,SHOP,12131.045510034692
13,momentum,AAPL,1287164.084437996
13,momentum,MSFT,6869103.536083673
13,momentum,DSM,1311824.0292996594
13,momentum,SHOP,1151038.6894147634
13,evolving,AAPL,10911041.91142218
13,evolving,MSFT,5818213.001490706
13,evolving,DSM,2141231.1705708457
13,evolving,SHOP,8639184.8299964
13,noise,AAPL,1454689.1410728416
13,noise,MSFT,773654.6201760492
13,noise,DSM,2113206.280836515
13,noise,SHOP,1129296.8475035978
13,arbitrage,AAPL,4722459.890351126
13,arbitrage,MSFT,3828925.984129627
13,arbitrage,DSM,4814449.265347726
13,arbitrage,SHOP,4250316.938320459
13,risk_averse,AAPL,823175.2545924602
13,risk_averse,MSFT,3908910.2870325726
13,risk_averse,DSM,3685515.990441665
13,risk_averse,SHOP,767501.2298184071
13,mean_reversion,AAPL,4720871.975122359
13,mean_reversion,MSFT,3863757.8579744706
13,mean_reversion,DSM,4799869.842942569
13,mean_reversion,SHOP,4321368.709271985
13,contrarian,AAPL,8217302.5173429
13,contrarian,MSFT,1044956.2153453358
13,contrarian,DSM,13920108.525280304
13,contrarian,SHOP,8503475.947478956
13,hft,AAPL,15879.152287663323
13,hft,MSFT,16254.874460927493
13,hft,DSM,16847.332557071488
13,hft,SHOP,13215.629396984315
14,momentum,AAPL,1321411.6119413748
14,momentum,MSFT,1139106.911968717
14,momentum,DSM,12487432.455380153
14,momentum,SHOP,1140017.9559503698
14,evolving,AAPL,10274219.98869821
14,evolving,MSFT,7414771.593645941
14,evolving,DSM,3635623.023565942
14,evolving,SHOP,8556468.102716452
14,noise,AAPL,1175730.0601557319
14,noise,MSFT,1343633.1878294034
14,noise,DSM,2217370.0816995744
14,noise,SHOP,1116936.1109163156
14,arbitrage,AAPL,4851701.399893353
14,arbitrage,MSFT,3923943.030087269
14,arbitrage,DSM,4862768.508567848
14,arbitrage,SHOP,4209621.859564912
14,risk_averse,AAPL,845703.4316424666
14,risk_averse,MSFT,751075.4836228278
14,risk_averse,DSM,3722504.923904009
14,risk_averse,SHOP,760152.7135911006
14,mean_reversion,AAPL,4850070.027532919
14,mean_reversion,MSFT,3959639.2773286263
14,mean_reversion,DSM,4848042.762747822
14,mean_reversion,SHOP,4279993.338327282
14,contrarian,AAPL,9697366.722053157
14,contrarian,MSFT,8224018.739439936
14,contrarian,DSM,1346587.6455421613
14,contrarian,SHOP,8422058.57828028
14,hft,AAPL,16313.723604214381
14,hft,MSFT,13353.040634730864
14,hft,DSM,9653.544482015566
14,hft,SHOP,13229.83800732532
15,momentum,AAPL,1290804.254247949
15,momentum,MSFT,1063247.0835858206
15,momentum,DSM,1340523.9152986736
15,momentum,SHOP,7265299.931149781
15,evolving,AAPL,10036242.114602525
15,evolving,MSFT,7394817.833803225
15,evolving,DSM,5093330.521526613
15,evolving,SHOP,6552536.8730451735
15,noise,AAPL,1148656.4277307477
15,noise,MSFT,1034631.2978794278
15,noise,DSM,1723695.8373933164
15,noise,SHOP,885194.6088362656
15,arbitrage,AAPL,4739323.274238687
15,arbitrage,MSFT,3895947.3383736876
15,arbitrage,DSM,4906449.601314983
15,arbitrage,SHOP,4125942.1459081764
15,risk_averse,AAPL,826114.7227186798
15,risk_averse,MSFT,704368.3766075927
15,risk_averse,DSM,3755943.3001183225
15,risk_averse,SHOP,3776664.796746001
15,mean_reversion,AAPL,4737729.6887396155
15,mean_reversion,MSFT,3931388.907826545
15,mean_reversion,DSM,4891591.577623244
15,mean_reversion,SHOP,4194914.766200853
15,contrarian,AAPL,9472750.28213079
15,contrarian,MSFT,8540893.177851155
15,contrarian,DSM,11704160.529435605
15,contrarian,SHOP,1118460.0106661255
15,hft,AAPL,14660.986591457893
15,hft,MSFT,13257.772276810725
15,hft,DSM,14692.934539604023
15,hft,SHOP,12966.85261502389
16,momentum,AAPL,12068774.57450394
16,momentum,MSFT,1061666.4234519473
16,momentum,DSM,6579536.466707863
16,momentum,SHOP,7219907.406260151
16,evolving,AAPL,6928543.976053534
16,evolving,MSFT,7430485.334804343
16,evolving,DSM,5019384.595274267
16,evolving,SHOP,6451765.666520363
16,noise,AAPL,1921008.2319439955
16,noise,MSFT,865847.9497930335
16,noise,DSM,1336596.015130981
16,noise,SHOP,780504.8275212988
16,arbitrage,AAPL,4800906.2872280935
16,arbitrage,MSFT,3890155.487414022
16,arbitrage,DSM,4856783.661779276
16,arbitrage,SHOP,4063515.9949803823
16,risk_averse,AAPL,836849.3003695434
16,risk_averse,MSFT,703321.2380547097
16,risk_averse,DSM,9115947.611205708
16,risk_averse,SHOP,3749004.476144542
16,mean_reversion,AAPL,4799291.994596207
16,mean_reversion,MSFT,3925544.3681957526
16,mean_reversion,DSM,4842076.039654102
16,mean_reversion,SHOP,4131445.048724623
16,contrarian,AAPL,1314841.348670915
16,contrarian,MSFT,8648780.323197583
16,contrarian,DSM,1327117.7697614247
16,contrarian,SHOP,1100450.670656652
16,hft,AAPL,18080.07747711995
16,hft,MSFT,13238.06281094407
16,hft,DSM,14544.204101559764
16,hft,SHOP,12770.662103916897
17,momentum,AAPL,1313789.4716378073
17,momentum,MSFT,10869211.473778922
17,momentum,DSM,6548344.321381519
17,momentum,SHOP,7204740.0448300475
17,evolving,AAPL,9128086.28342259
17,evolving,MSFT,4735580.61429711
17,evolving,DSM,4995588.789211512
17,evolving,SHOP,6438211.993845586
17,noise,AAPL,1550821.6854246885
17,noise,MSFT,1592996.9600100087
17,noise,DSM,1328633.0724098508
17,noise,SHOP,784152.5021037015
17,arbitrage,AAPL,4811834.838239983
17,arbitrage,MSFT,3952198.4262389946
17,arbitrage,DSM,4833758.711227964
17,arbitrage,SHOP,4054979.484426282
17,risk_averse,AAPL,838754.263666306
17,risk_averse,MSFT,714538.3003773029
17,risk_averse,DSM,9072730.894630797
17,risk_averse,SHOP,3741128.681803541
17,mean_reversion,AAPL,4810216.870910383
17,mean_reversion,MSFT,3988151.7138092318
17,mean_reversion,DSM,4819120.8147269385
17,mean_reversion,SHOP,4122765.834884761
17,contrarian,AAPL,10287845.265282134
17,contrarian,MSFT,1100969.5615951319
17,contrarian,DSM,1320826.1942759443
17,contrarian,SHOP,1098138.8774273803
17,hft,AAPL,19415.6079552387
17,hft,MSFT,11052.306919738447
17,hft,DSM,13336.750145379869
17,hft,SHOP,7320.925849515889
18,momentum,AAPL,1295237.5281338182
18,momentum,MSFT,11025247.909056878
18,momentum,DSM,6579896.959083807
18,momentum,SHOP,7385820.394925568
18,evolving,AAPL,8999189.116345488
18,evolving,MSFT,4803563.753626834
18,evolving,DSM,5019659.607030439
18,evolving,SHOP,6600026.809450327
18,noise,AAPL,1533867.4963712683
18,noise,MSFT,1609112.1389353059
